ID	Gene_Title	Gene_Symbol	ENTREZ_GENE_ID
1552507_at	potassium voltage-gated channel; Isk-related family; member 4	KCNE4	23704
1552508_at	potassium voltage-gated channel; Isk-related family; member 4	KCNE4	23704
1552509_a_at	CD300 molecule-like family member g	CD300LG	146894
1552510_at	solute carrier family 34 (type II sodium/phosphate contransporter); member 3	SLC34A3	142680
1552511_a_at	carboxypeptidase A6	CPA6	57094
1552514_at	WBP2 N-terminal like	WBP2NL	164684
1552515_at	homeodomain interacting protein kinase 1	HIPK1	204851
1552516_a_at	homeodomain interacting protein kinase 1	HIPK1	204851
1552518_s_at	MDM2 binding protein	MTBP	27085
1552519_at	activin A receptor; type IC	ACVR1C	130399
1552520_at	transmembrane protein 74	TMEM74	157753
1552521_a_at	transmembrane protein 74	TMEM74	157753
1552522_at	tigger transposable element derived 4	TIGD4	201798
1552523_a_at	tigger transposable element derived 4	TIGD4	201798
1552524_at	ADP-ribosyltransferase 5	ART5	116969
1552526_at	family with sequence similarity 71; member C	FAM71C	196472
1552528_at	chromosome 21 open reading frame 67	C21orf67	84536
1552531_a_at	NLR family; pyrin domain containing 11	NLRP11	204801
1552532_a_at	ATPase; H+ transporting; lysosomal 42kDa; V1 subunit C2	ATP6V1C2	245973
1552535_at	claudin 19	CLDN19	149461
1552536_at	vesicle transport through interaction with t-SNAREs 1A	VTI1A	143187
1552538_a_at	kinesin family member 6	KIF6	221458
1552540_s_at	IQ motif containing D	IQCD	115811
1552541_at	T-cell activation RhoGTPase activating protein	TAGAP	117289
1552542_s_at	T-cell activation RhoGTPase activating protein	TAGAP	117289
1552543_a_at	stonin 2	STON2	85439
1552544_at	serpin peptidase inhibitor; clade A (alpha-1 antiproteinase; antitrypsin); member 12	SERPINA12	145264
1552546_a_at	leucine zipper-EF-hand containing transmembrane protein 2	LETM2	137994
1552548_at	barttin CLCNK-type chloride channel accessory beta subunit	BSND	7809
1552549_a_at	barttin CLCNK-type chloride channel accessory beta subunit	BSND	7809
1552552_s_at	C-type lectin domain family 4; member C	CLEC4C	170482
1552553_a_at	NLR family; CARD domain containing 4	NLRC4	58484
1552554_a_at	NLR family; CARD domain containing 4	NLRC4	58484
1552555_at	protease; serine; 36	PRSS36	146547
1552557_a_at	zinc finger; DHHC-type containing 15	ZDHHC15	158866
1552558_a_at	retinoic acid induced 1	RAI1	10743
1552559_a_at	cyclin-dependent kinase 15	CDK15	65061
1552562_at	zinc finger protein 570	ZNF570	148268
1552563_a_at		AF131215.4	
1552564_at	nudix (nucleoside diphosphate linked moiety X)-type motif 9 pseudogene 1	NUDT9P1	119369
1552566_at	BTB (POZ) domain containing 16	BTBD16	118663
1552568_at	receptor (chemosensory) transporter protein 3	RTP3	83597
1552569_a_at	receptor (chemosensory) transporter protein 3	RTP3	83597
1552570_at	thrombospondin-type laminin G domain and EAR repeats	TSPEAR	54084
1552572_a_at	mirror-image polydactyly 1	MIPOL1	145282
1552573_s_at	mirror-image polydactyly 1	MIPOL1	145282
1552575_a_at	chromosome 6 open reading frame 141	C6orf141	135398
1552576_at	Alstrom syndrome 1 pseudogene	ALMS1P	200420
1552578_a_at	myosin IIIB	MYO3B	140469
1552579_a_at	ADAM metallopeptidase domain 21	ADAM21	8747
1552580_at	tripartite motif family-like 2	TRIML2	205860
1552582_at	ATP-binding cassette; sub-family C (CFTR/MRP); member 13; pseudogene	ABCC13	150000
1552583_s_at	ATP-binding cassette; sub-family C (CFTR/MRP); member 13; pseudogene	ABCC13	150000
1552584_at	interleukin 12 receptor; beta 1	IL12RB1	3594
1552585_s_at	general transcription factor IIA; 1-like	GTF2A1L	11036
1552586_at	transient receptor potential cation channel; subfamily V; member 3	TRPV3	162514
1552587_at	cyclic nucleotide binding domain containing 1	CNBD1	168975
1552588_a_at	cyclic nucleotide binding domain containing 1	CNBD1	168975
1552590_a_at	ATP-binding cassette; sub-family C (CFTR/MRP); member 12	ABCC12	94160
1552592_at	matrix metallopeptidase 21	MMP21	118856
1552594_at	transmembrane protein 190	TMEM190	147744
1552596_at	growth arrest-specific 2 like 2	GAS2L2	246176
1552598_at	potassium voltage-gated channel; subfamily G; member 4	KCNG4	93107
1552599_at	peroxisomal; testis specific 1	PXT1	222659
1552602_at	calcium channel; voltage-dependent; gamma subunit 5	CACNG5	27091
1552604_at	long intergenic non-protein coding RNA 308	LINC00308	54143
1552605_s_at	long intergenic non-protein coding RNA 308	LINC00308	54143
1552607_at	family with sequence similarity 223; member A (non-protein coding) /// family with sequence similarity 223; member B (non-protein coding)	FAM223A /// FAM223B	286967 /// 100132967
1552608_at	WAP four-disulfide core domain 11	WFDC11	259239
1552609_s_at	interferon; lambda 2 /// interferon; lambda 3	IFNL2 /// IFNL3	282616 /// 282617
1552610_a_at	Janus kinase 1	JAK1	3716
1552611_a_at	Janus kinase 1	JAK1	3716
1552612_at	CDC42 small effector 2	CDC42SE2	56990
1552613_s_at	CDC42 small effector 2	CDC42SE2	56990
1552615_at	acetyl-CoA carboxylase beta	ACACB	32
1552616_a_at	acetyl-CoA carboxylase beta	ACACB	32
1552617_a_at	ring finger and WD repeat domain 2; E3 ubiquitin protein ligase	RFWD2	64326
1552618_at	syntaxin 6	STX6	10228
1552619_a_at	anillin; actin binding protein	ANLN	54443
1552620_at	small proline-rich protein 4	SPRR4	163778
1552621_at	polymerase (RNA) II (DNA directed) polypeptide J; 13.3kDa /// polymerase (RNA) II (DNA directed) polypeptide J2 /// polymerase (RNA) II (DNA directed) polypeptide J3 /// uroplakin 3B-like	POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL	5439 /// 246721 /// 548644 /// 100134938
1552622_s_at	postmeiotic segregation increased 2 pseudogene /// polymerase (RNA) II (DNA directed) polypeptide J; 13.3kDa /// polymerase (RNA) II (DNA directed) polypeptide J2 /// polymerase (RNA) II (DNA directed) polypeptide J3 /// uroplakin 3B-like	LOC441259 /// POLR2J /// POLR2J2 /// POLR2J3 /// UPK3BL	5439 /// 246721 /// 441259 /// 548644 /// 100134938
1552623_at	hematopoietic SH2 domain containing	HSH2D	84941
1552625_a_at	tRNA nucleotidyl transferase; CCA-adding; 1	TRNT1	51095
1552626_a_at	transmembrane protein 163	TMEM163	81615
1552627_a_at	Rho GTPase activating protein 5	ARHGAP5	394
1552628_a_at	HERPUD family member 2	HERPUD2	64224
1552629_a_at	jumonji domain containing 6	JMJD6	23210
1552630_a_at	Snf2-related CREBBP activator protein	SRCAP	10847
1552631_a_at	mitogen-activated protein kinase kinase kinase 6	MAP3K6	9064
1552632_a_at	arylsulfatase G	ARSG	22901
1552633_at	zinc finger protein 101	ZNF101	94039
1552634_a_at	zinc finger protein 101	ZNF101	94039
1552637_at	protein tyrosine phosphatase; non-receptor type 11	PTPN11	5781
1552639_at	kelch domain containing 7B	KLHDC7B	113730
1552641_s_at	ATPase family; AAA domain containing 3A /// ATPase family; AAA domain containing 3B	ATAD3A /// ATAD3B	55210 /// 83858
1552643_at	zinc finger protein 626	ZNF626	199777
1552644_a_at	polyhomeotic homolog 3 (Drosophila)	PHC3	80012
1552646_at	interleukin 11 receptor; alpha	IL11RA	3590
1552648_a_at	tumor necrosis factor receptor superfamily; member 10a	TNFRSF10A	8797
1552649_a_at	RAD51L3-RFFL readthrough /// ring finger and FYVE-like domain containing E3 ubiquitin protein ligase	RAD51L3-RFFL /// RFFL	117584 /// 100529207
1552651_a_at	RAD51L3-RFFL readthrough /// ring finger and FYVE-like domain containing E3 ubiquitin protein ligase	RAD51L3-RFFL /// RFFL	117584 /// 100529207
1552652_at	Hermansky-Pudlak syndrome 4	HPS4	89781
1552656_s_at	U2AF homology motif (UHM) kinase 1	UHMK1	127933
1552657_a_at	thioredoxin domain containing 2 (spermatozoa)	TXNDC2	84203
1552658_a_at	neuron navigator 3	NAV3	89795
1552660_a_at	chromosome 5 open reading frame 22	C5orf22	55322
1552661_at	protocadherin gamma subfamily B; 7	PCDHGB7	56099
1552662_a_at	protocadherin gamma subfamily B; 7	PCDHGB7	56099
1552663_a_at	ELKS/RAB6-interacting/CAST family member 1	ERC1	23085
1552664_at	folliculin	FLCN	201163
1552665_at	JMJD1C antisense RNA 1	JMJD1C-AS1	84989
1552666_a_at	leucine rich repeat containing 7	LRRC7	57554
1552667_a_at	SH2 domain containing 3C	SH2D3C	10044
1552669_at	protein phosphatase 1; regulatory subunit 3B	PPP1R3B	79660
1552670_a_at	protein phosphatase 1; regulatory subunit 3B	PPP1R3B	79660
1552671_a_at	solute carrier family 9; subfamily A (NHE7; cation proton antiporter 7); member 7	SLC9A7	84679
1552672_a_at	immunoglobulin superfamily; member 3	IGSF3	3321
1552673_at	regulatory factor X; 6	RFX6	222546
1552674_at	disrupted in renal carcinoma 1	DIRC1	116093
1552675_at	DnaJ (Hsp40) homolog; subfamily B; member 7	DNAJB7	150353
1552676_at	urocortin 3	UCN3	114131
1552677_a_at	DIP2 disco-interacting protein 2 homolog A (Drosophila)	DIP2A	23181
1552678_a_at	ubiquitin specific peptidase 28	USP28	57646
1552680_a_at	cancer susceptibility candidate 5	CASC5	57082
1552682_a_at	cancer susceptibility candidate 5	CASC5	57082
1552684_a_at	SUMO/sentrin specific peptidase family member 8	SENP8	123228
1552685_a_at	grainyhead-like 1 (Drosophila)	GRHL1	29841
1552686_at	cyclic nucleotide binding domain containing 2	CNBD2	140894
1552687_a_at	cyclic nucleotide binding domain containing 2	CNBD2	140894
1552689_at	CASK interacting protein 1	CASKIN1	57524
1552690_a_at	calcium channel; voltage-dependent; alpha 2/delta subunit 4	CACNA2D4	93589
1552691_at	ADP-ribosylation factor-like 11	ARL11	115761
1552693_at	ADP-ribosylation factor-like 11	ARL11	115761
1552694_at	solute carrier family 2 (facilitated glucose transporter); member 13	SLC2A13	114134
1552695_a_at	solute carrier family 2 (facilitated glucose transporter); member 13	SLC2A13	114134
1552696_at	non imprinted in Prader-Willi/Angelman syndrome 1	NIPA1	123606
1552698_at	tubulin; alpha 3f; pseudogene	TUBA3FP	113691
1552701_a_at	caspase recruitment domain family; member 16	CARD16	114769
1552703_s_at	caspase recruitment domain family; member 16 /// caspase 1; apoptosis-related cysteine peptidase	CARD16 /// CASP1	834 /// 114769
1552705_at	dual specificity phosphatase 19	DUSP19	142679
1552708_a_at	dual specificity phosphatase 19	DUSP19	142679
1552711_a_at	cytochrome b5 domain containing 1	CYB5D1	124637
1552712_a_at	nicotinamide nucleotide adenylyltransferase 2	NMNAT2	23057
1552713_a_at	solute carrier family 4 (anion exchanger); member 1 (Diego blood group)	SLC4A1	6521
1552714_at	cellular repressor of E1A-stimulated genes 2	CREG2	200407
1552715_a_at	relaxin/insulin-like family peptide receptor 1	RXFP1	59350
1552716_at	sperm flagellar 2	SPEF2	79925
1552717_s_at	centrosomal protein 170kDa /// centrosomal protein 170kDa pseudogene 1	CEP170 /// CEP170P1	9859 /// 645455
1552718_at	D-tyrosyl-tRNA deacylase 1	DTD1	92675
1552719_at	cancer susceptibility candidate 4	CASC4	113201
1552721_a_at	fibroblast growth factor 1 (acidic)	FGF1	2246
1552722_at	cAMP-regulated phosphoprotein; 21kDa	ARPP21	10777
1552724_at	Rhox homeobox family; member 1	RHOXF1	158800
1552725_s_at	ADAM metallopeptidase with thrombospondin type 1 motif; 17	ADAMTS17	170691
1552726_at	ADAM metallopeptidase with thrombospondin type 1 motif; 17	ADAMTS17	170691
1552727_s_at	ADAM metallopeptidase with thrombospondin type 1 motif; 17	ADAMTS17	170691
1552729_at	small nucleolar RNA host gene 7 (non-protein coding) /// small nucleolar RNA; H/ACA box 17 /// small nucleolar RNA; H/ACA box 43	SNHG7 /// SNORA17 /// SNORA43	84973 /// 677804 /// 677824
1552730_at	desert hedgehog	DHH	50846
1552731_at	actin-binding Rho activating protein	ABRA	137735
1552732_at	actin-binding Rho activating protein	ABRA	137735
1552733_at	kelch domain containing 1	KLHDC1	122773
1552734_at	RPTOR independent companion of MTOR; complex 2	RICTOR	253260
1552735_at	protocadherin gamma subfamily A; 4	PCDHGA4	56111
1552736_a_at	neuropilin (NRP) and tolloid (TLL)-like 1	NETO1	81832
1552737_s_at	WW domain containing E3 ubiquitin protein ligase 2	WWP2	11060
1552738_a_at	suppression of tumorigenicity 7 like	ST7L	54879
1552739_s_at	suppression of tumorigenicity 7 like	ST7L	54879
1552740_at	chromosome 2 open reading frame 15	C2orf15	150590
1552742_at	potassium voltage-gated channel; subfamily H (eag-related); member 8	KCNH8	131096
1552743_at	MCF.2 cell line derived transforming sequence-like	MCF2L	23263
1552745_at	solute carrier organic anion transporter family; member 6A1	SLCO6A1	133482
1552747_a_at	protein phosphatase 2C-like domain containing 1	PP2D1	151649
1552749_a_at	kinesin light chain 3	KLC3	147700
1552750_at	calcium and integrin binding family member 3	CIB3	117286
1552751_a_at	calcium and integrin binding family member 3	CIB3	117286
1552752_a_at	cell adhesion molecule 2	CADM2	253559
1552754_a_at	cell adhesion molecule 2	CADM2	253559
1552755_at	chromosome 9 open reading frame 66	C9orf66	157983
1552757_s_at	chromosome 9 open reading frame 66	C9orf66	157983
1552758_at	histone deacetylase 9	HDAC9	9734
1552760_at	histone deacetylase 9	HDAC9	9734
1552761_at	solute carrier family 16; member 11	SLC16A11	162515
1552763_at	transmembrane protein 67	TMEM67	91147
1552765_x_at	transmembrane protein 67	TMEM67	91147
1552766_at	heparan sulfate 6-O-sulfotransferase 2	HS6ST2	90161
1552767_a_at	heparan sulfate 6-O-sulfotransferase 2	HS6ST2	90161
1552768_at	calcium/calmodulin-dependent protein kinase kinase 1; alpha	CAMKK1	84254
1552769_at	zinc finger protein 625	ZNF625	90589
1552770_s_at	zinc finger protein 563	ZNF563	147837
1552771_a_at	lin-9 homolog (C. elegans)	LIN9	286826
1552772_at	C-type lectin domain family 4; member D	CLEC4D	338339
1552773_at	C-type lectin domain family 4; member D	CLEC4D	338339
1552774_a_at	solute carrier family 25; member 27	SLC25A27	9481
1552775_at	G protein-coupled receptor; class C; group 6; member A	GPRC6A	222545
1552777_a_at	retinoic acid early transcript 1E	RAET1E	135250
1552779_a_at	solute carrier family 44; member 5	SLC44A5	204962
1552782_at	solute carrier family 44; member 5	SLC44A5	204962
1552783_at	zinc finger protein 417	ZNF417	147687
1552785_at	zinc finger protein 781	ZNF781	163115
1552787_at	helicase (DNA) B	HELB	92797
1552788_a_at	helicase (DNA) B	HELB	92797
1552789_at	SEC62 homolog (S. cerevisiae)	SEC62	7095
1552790_a_at	SEC62 homolog (S. cerevisiae)	SEC62	7095
1552791_a_at	triadin	TRDN	10345
1552792_at	suppressor of cytokine signaling 4	SOCS4	122809
1552793_at	chromosome 8 open reading frame 31	C8orf31	286122
1552794_a_at	zinc finger protein 547	ZNF547	284306
1552796_a_at	single-minded family bHLH transcription factor 1	SIM1	6492
1552797_s_at	prominin 2	PROM2	150696
1552798_a_at	toll-like receptor 4	TLR4	7099
1552799_at	t-SNARE domain containing 1	TSNARE1	203062
1552800_at	abhydrolase domain containing 11	ABHD11	83451
1552801_at	calpain 13	CAPN13	92291
1552803_a_at	stathmin 1	STMN1	3925
1552804_a_at	toll-interleukin 1 receptor (TIR) domain containing adaptor protein	TIRAP	114609
1552806_a_at	sialic acid binding Ig-like lectin 10	SIGLEC10	89790
1552807_a_at	sialic acid binding Ig-like lectin 10	SIGLEC10	89790
1552808_at	ADAMTS-like 1	ADAMTSL1	92949
1552809_at	regulatory factor X; 4 (influences HLA class II expression)	RFX4	5992
1552811_at	WAP; follistatin/kazal; immunoglobulin; kunitz and netrin domain containing 1	WFIKKN1	117166
1552812_a_at	SUMO1/sentrin specific peptidase 1	SENP1	29843
1552813_at	Kruppel-like factor 14	KLF14	136259
1552814_a_at	Kruppel-like factor 14	KLF14	136259
1552816_at	nucleoredoxin-like 2	NXNL2	158046
1552818_a_at	bombesin-like receptor 3	BRS3	680
