GeneID,Symbol,link,description,chromosome
102116001,HTR1B,,5-hydroxytryptamine receptor 1B,4
101864888,FSHB,,follicle stimulating hormone subunit beta,14
102123758,CYP2A23,,cytochrome P450 family 2 subfamily A member 23,19
102115025,XRRA1,,X-ray radiation resistance associated 1,14
102122753,PLCZ1,,phospholipase C zeta 1,11
101866044,MGST2,,microsomal glutathione S-transferase 2,5
101867512,CAPN1,,calpain 1,14
101867071,CD59,,CD59 molecule (CD59 blood group),14
102146720,GSTM2,,glutathione S-transferase mu 2,1
102145896,FCAR,,Fc fragment of IgA receptor,19
102144713,ADAM7,,ADAM metallopeptidase domain 7,8
102144139,IGFBP3,,insulin like growth factor binding protein 3,3
102143762,OPN1SW,,opsin 1; short wave sensitive,3
102143721,ADAM28,,ADAM metallopeptidase domain 28,8
102143714,CYP1D1,,cytochrome P450 family 1 subfamily D member 1,15
102141619,NAV1,,neuron navigator 1,1
102141145,GAPDH,,glyceraldehyde-3-phosphate dehydrogenase,11
102140349,CRCP,,CGRP receptor component,3
102139334,PLAUR,,plasminogen activator; urokinase receptor,19
102138209,CCR3,,C-C motif chemokine receptor 3,2
102137107,OPN1LW,,opsin 1 (cone pigments); long-wave-sensitive,X
102136156,FFAR4,,free fatty acid receptor 4,9
102135781,KLK1,,kallikrein 1,19
102135627,CXCR6,,C-X-C motif chemokine receptor 6,2
102132878,DEFB126,,defensin beta 126,10
102131458,C3,,complement C3,19
102130835,TNFSF14,,TNF superfamily member 14,19
102130817,LOC102130817,,arylacetamide deacetylase,2
102130236,FTMT,,ferritin mitochondrial,6
102129042,SHANK3,,SH3 and multiple ankyrin repeat domains 3,10
102127360,TFF1,,trefoil factor 1,3
102127182,ELAC2,,elaC ribonuclease Z 2,16
102126681,CAMK2A,,calcium/calmodulin dependent protein kinase II alpha,6
102126671,SRD5A1,,steroid 5 alpha-reductase 1,6
102126294,BDNF,,brain derived neurotrophic factor,14
102124727,IDH3G,,isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma,X
102123390,OPRM1,,opioid receptor mu 1,4
102119308,CYP2C93,,cytochrome P450 family 2 subfamily C member 93,9
102118803,KCNE1,,potassium voltage-gated channel; Isk-related family; member 1,3
102118698,GP6,,glycoprotein VI platelet,19
102115639,SRD5A2,,steroid 5 alpha-reductase 2,13
101926805,TUBA4A,,tubulin alpha 4a,12
101925139,CACNA1G,,calcium voltage-gated channel subunit alpha1 G,16
101867183,CFLAR,,CASP8 and FADD like apoptosis regulator,12
102147065,CCDC89,,coiled-coil domain containing 89,14
102144318,ADRB2,,adrenoceptor beta 2,6
102138293,SAA2,,serum amyloid A2,14
102135470,SLAMF1,,signaling lymphocytic activation molecule family member 1,1
102131510,GABRA3,,gamma-aminobutyric acid type A receptor subunit alpha3,X
102131307,VCAM1,,vascular cell adhesion molecule 1,1
102122424,ERVFRD-1,,endogenous retrovirus group FRD member 1; envelope,4
102121641,GABRA2,,gamma-aminobutyric acid type A receptor subunit alpha2,5
102120909,SLC22A6,,solute carrier family 22 member 6,14
102120567,MBL2,,mannose binding lectin 2,9
102118979,TACR3,,tachykinin receptor 3,5
101864992,SYNDIG1,,synapse differentiation inducing 1,10
102128907,ZKSCAN5,,zinc finger with KRAB and SCAN domains 5,3
102138414,MGST3,,microsomal glutathione S-transferase 3,1
102124463,RETSAT,,retinol saturase,13
101866986,SLC3A2,,solute carrier family 3 member 2,14
102137743,GPX5,,glutathione peroxidase 5,4
102137352,PFKM,,phosphofructokinase; muscle,11
102129291,HAMP,,hepcidin antimicrobial peptide,19
102129233,DRD1,,dopamine receptor D1,6
102123487,DRD3,,dopamine receptor D3,2
102115223,ESR1,,estrogen receptor 1,4
105667215,ERV3-1,,endogenous retrovirus group 3 member 1; envelope,3
102126301,RGS4,,regulator of G protein signaling 4,1
101926814,RPL19,,ribosomal protein L19,16
101866165,RPL9,,ribosomal protein L9,5
101865601,MAP2,,microtubule associated protein 2,12
101866794,SARS1,,seryl-tRNA synthetase 1,1
101865568,KRBOX4,,KRAB box domain containing 4,X
101865568,KRBOX4,,KRAB box domain containing 4,X
101864977,MPL,,MPL proto-oncogene; thrombopoietin receptor,1
102146648,MGST1,,microsomal glutathione S-transferase 1,11
102120132,LOC102120132,,HLA class I histocompatibility antigen; B-27 alpha chain-like,Un
102119472,DIP2B,,disco interacting protein 2 homolog B,11
101925194,NDUFA2,,NADH:ubiquinone oxidoreductase subunit A2,6
102125257,PPP2R2B,,protein phosphatase 2 regulatory subunit Bbeta,6
101925639,ALDOA,,aldolase; fructose-bisphosphate A,20
107126443,ADRB1,,adrenoceptor beta 1,9
102146832,CD46,,CD46 molecule,1
102143028,PTGS2,,prostaglandin-endoperoxide synthase 2,1
102139406,FASLG,,Fas ligand,1
102138964,CACNA1I,,calcium voltage-gated channel subunit alpha1 I,10
102138731,CACNA1H,,calcium voltage-gated channel subunit alpha1 H,20
102138325,SLC47A2,,solute carrier family 47 member 2,16
102137347,SLCO1B1,,solute carrier organic anion transporter family member 1B1,11
102136593,SLCO1B3,,solute carrier organic anion transporter family member 1B3,11
102135912,LHB,,luteinizing hormone subunit beta,19
102134381,CD3G,,CD3g molecule,14
102134095,CREB3L4,,cAMP responsive element binding protein 3 like 4,1
102133701,CD3D,,CD3d molecule,14
102133065,CD3E,,CD3e molecule,14
102132220,ADRB3,,adrenoceptor beta 3,8
102131920,ZP4,,zona pellucida glycoprotein 4,1
102131863,ZP2,,zona pellucida glycoprotein 2,20
102127936,NECTIN4,,nectin cell adhesion molecule 4,1
102122692,CAPN2,,calpain 2,1
102122319,SLC22A8,,solute carrier family 22 member 8,14
102119384,SLCO2B1,,solute carrier organic anion transporter family member 2B1,14
102118842,MOG,,myelin oligodendrocyte glycoprotein,4
102118200,LACRT,,lacritin,11
102117212,CYP2C8,,cytochrome P450 family 2 subfamily C member 8,9
102115748,SLC22A2,,solute carrier family 22 member 2,4
102115729,HCK,,HCK proto-oncogene; Src family tyrosine kinase,10
102115450,CYP2C9,,cytochrome P450 family 2 subfamily C member 9,9
101866453,NR1I2,,nuclear receptor subfamily 1 group I member 2,2
101925129,OAZ1,,ornithine decarboxylase antizyme 1,19
101867457,OAZ3,,ornithine decarboxylase antizyme 3,1
102138585,MX2,,MX dynamin like GTPase 2,3
102127759,TGIF2LX,,TGFB induced factor homeobox 2 like X-linked,X
102117873,SLC1A3,,solute carrier family 1 member 3,6
101925540,GRM3,,glutamate metabotropic receptor 3,3
101865995,GRIA3,,glutamate ionotropic receptor AMPA type subunit 3,X
102145278,CDYL2,,chromodomain Y like 2,20
102137831,TFIP11,,tuftelin interacting protein 11,10
101926086,MOBP,,myelin associated oligodendrocyte basic protein,2
101865382,GSTA4,,glutathione S-transferase alpha 4,4
102129342,CD14,,CD14 molecule,6
102144782,LOC102144782,,HLA class II histocompatibility antigen; DQ beta 1 chain-like,4
102141176,LOC102141176,,HLA class II histocompatibility antigen; DQ alpha 1 chain-like,4
102137462,TSPAN12,,tetraspanin 12,3
102124409,TTC21A,,tetratricopeptide repeat domain 21A,2
101865754,CCDC15,,coiled-coil domain containing 15,14
101864922,NSUN7,,NOP2/Sun RNA methyltransferase family member 7,5
102131967,CEP112,,centrosomal protein 112,16
101865007,RTN4,,reticulon 4,13
102124373,KIF27,,kinesin family member 27,15
102119662,CYP2J2,,cytochrome P450 family 2 subfamily J member 2,1
102139405,MMP20,,matrix metallopeptidase 20,14
102139178,TRPV1,,transient receptor potential cation channel subfamily V member 1,16
102136844,LEP,,leptin,3
102135320,DSPP,,dentin sialophosphoprotein,5
102123945,TRPC3,,transient receptor potential cation channel subfamily C member 3,5
102121571,IL15RA,,interleukin 15 receptor subunit alpha,9
102119914,NAT1,,N-acetyltransferase 1,8
102119891,GRIK4,,glutamate ionotropic receptor kainate type subunit 4,14
102117787,TMEM70,,transmembrane protein 70,8
102116800,GALNT2,,polypeptide N-acetylgalactosaminyltransferase 2,1
102116138,UPRT,,uracil phosphoribosyltransferase homolog,X
102115046,LEPR,,leptin receptor,1
102133222,IL1RAP,,interleukin 1 receptor accessory protein,2
102124346,NDUFV1,,NADH:ubiquinone oxidoreductase core subunit V1,14
101865695,CPLX2,,complexin 2,6
102125830,PEG10,,paternally expressed 10,3
102124250,PNMA2,,PNMA family member 2,8
101867494,DPP6,,dipeptidyl peptidase like 6,3
101867492,COPS2,,COP9 signalosome subunit 2,7
101866525,STMN1,,stathmin 1,1
101866328,GAS7,,growth arrest specific 7,16
101866107,RPL24,,ribosomal protein L24,2
101865464,AFTPH,,aftiphilin,13
101864994,STMN2,,stathmin 2,8
102136862,LOC102136862,,HLA class II histocompatibility antigen; DP alpha 1 chain-like,4
101865846,RAB3A,,RAB3A; member RAS oncogene family,19
101865178,ETV5,,ETS variant transcription factor 5,2
102146671,TMBIM1,,transmembrane BAX inhibitor motif containing 1,12
102146413,TSPYL1,,TSPY like 1,4
102145401,NELL2,,neural EGFL like 2,11
102143347,SLC6A1,,solute carrier family 6 member 1,2
102135730,GSTZ1,,glutathione S-transferase zeta 1,7
102128562,RHAG,,Rh associated glycoprotein,4
102126138,CXCL1,,chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity; alpha),5
102125504,CXCL1L,,uncharacterized CXCL1L,5
102123657,CXCL3,,chemokine (C-X-C motif) ligand 3,5
102120818,TSPYL5,,TSPY like 5,8
102118739,TSPYL6,,TSPY like 6,13
102117979,CXCL3,,chemokine (C-X-C motif) ligand 3,5
102117319,GSTO1,,glutathione S-transferase omega 1,9
102114939,SLC15A1,,solute carrier family 15 member 1,17
102114842,TSPYL4,,TSPY like 4,4
101867372,ZMYM5,,zinc finger MYM-type containing 5,17
101925468,APOD,,apolipoprotein D,2
101867350,TAFA4,,TAFA chemokine like family member 4,2
101865428,GANAB,,glucosidase II alpha subunit,14
102123813,TAF9,,TATA-box binding protein associated factor 9,6
102143170,CRB1,,crumbs cell polarity complex component 1,1
102142364,SLC9B1,,solute carrier family 9 member B1,5
102141964,GLB1L,,galactosidase beta 1 like,12
102138337,WBP2,,WW domain binding protein 2,16
102129439,CRY1,,cryptochrome circadian regulator 1,11
102122972,CFAP70,,cilia and flagella associated protein 70,9
102120049,GNB1,,G protein subunit beta 1,1
102119165,ARMC3,,armadillo repeat containing 3,9
102119155,COPS5,,COP9 signalosome subunit 5,8
102117648,TDRKH,,tudor and KH domain containing,1
102116461,MINDY3,,MINDY lysine 48 deubiquitinase 3,9
101925185,MPP7,,membrane palmitoylated protein 7,9
101866658,DNAJC5B,,DnaJ heat shock protein family (Hsp40) member C5 beta,8
101866056,DNAJC5G,,DnaJ heat shock protein family (Hsp40) member C5 gamma,13
101865042,SEC22A,,SEC22 homolog A; vesicle trafficking protein,2
107126974,UGT1A8,,UDP glucuronosyltransferase 1 family; polypeptide A8,12
102142403,NAIF1,,nuclear apoptosis inducing factor 1,15
102136068,CCDC148,,coiled-coil domain containing 148,12
102120798,CD2,,CD2 molecule,1
102118501,CD247,,CD247 molecule,1
102114964,NANOG,,Nanog homeobox,11
101926080,GRM5,,glutamate metabotropic receptor 5,14
101925824,GTF2A1L,,general transcription factor IIA subunit 1 like,13
101925824,GTF2A1L,,general transcription factor IIA subunit 1 like,2
101865614,SLC1A6,,solute carrier family 1 member 6,19
102145647,GRM1,,glutamate metabotropic receptor 1,4
102137990,GRIK2,,glutamate ionotropic receptor kainate type subunit 2,4
102132739,GRIK1,,glutamate ionotropic receptor kainate type subunit 1,3
102145210,GSTM3,,glutathione S-transferase mu 3,1
102133254,DEFB125,,defensin beta 125,10
102131746,DEFB132,,defensin beta 132,10
102131661,HPGDS,,hematopoietic prostaglandin D synthase,5
102126215,GRM2,,glutamate metabotropic receptor 2,2
102123558,GRIA1,,glutamate ionotropic receptor AMPA type subunit 1,6
102122335,GRIA4,,glutamate ionotropic receptor AMPA type subunit 4,14
102142591,HRC,,histidine rich calcium binding protein,19
102138231,SS18L1,,SS18L1 subunit of BAF chromatin remodeling complex,10
102132618,FFAR1,,free fatty acid receptor 1,19
102124143,NPC1L1,,NPC1 like intracellular cholesterol transporter 1,3
102123935,LOC102123935,,UDP-glucuronosyltransferase 2B19-like,5
102136923,PBK,,PDZ binding kinase,8
102136197,ASB8,,ankyrin repeat and SOCS box containing 8,11
102134541,SNAP25,,synaptosome associated protein 25,10
102134094,NOVA1,,NOVA alternative splicing regulator 1,7
102131053,MPDU1,,mannose-P-dolichol utilization defect 1,16
102130103,VBP1,,VHL binding protein 1,X
102128230,PSMD11,,proteasome 26S subunit; non-ATPase 11,16
102126509,RNF40,,ring finger protein 40,20
102123220,PLIN3,,perilipin 3,19
102119735,LAMP2,,lysosomal associated membrane protein 2,X
102118439,RNPS1,,RNA binding protein with serine rich domain 1,20
102114927,GGA3,,golgi associated; gamma adaptin ear containing; ARF binding protein 3,16
101926796,FAM107A,,family with sequence similarity 107 member A,2
101926767,SRP54,,signal recognition particle 54,7
101926739,LDB2,,LIM domain binding 2,5
101926688,FADS2,,fatty acid desaturase 2,14
101926577,CD36,,CD36 molecule,3
101926506,IVNS1ABP,,influenza virus NS1A binding protein,1
101926434,CCT3,,chaperonin containing TCP1 subunit 3,1
101926344,RINT1,,RAD50 interactor 1,3
101926160,LIPA,,lipase A; lysosomal acid type,9
101926072,CLGN,,calmegin,5
101926043,HMGCS1,,3-hydroxy-3-methylglutaryl-CoA synthase 1,6
101926006,GNL1,,G protein nucleolar 1 (putative),4
101925991,GABPB1,,GA binding protein transcription factor subunit beta 1,7
101925976,RARS1,,arginyl-tRNA synthetase 1,6
101925934,CDC42,,cell division cycle 42,1
101925847,PMM1,,phosphomannomutase 1,10
101925820,SCG3,,secretogranin III,7
101925721,CSE1L,,chromosome segregation 1 like,10
101925633,LRRC49,,leucine rich repeat containing 49,7
101925471,YPEL5,,yippee like 5,13
101925432,TNPO3,,transportin 3,3
101925427,ORC2,,origin recognition complex subunit 2,12
101925308,CSNK1G1,,casein kinase 1 gamma 1,7
101925301,COPS3,,COP9 signalosome subunit 3,16
101925291,RAB11A,,RAB11A; member RAS oncogene family,7
101925223,PEA15,,proliferation and apoptosis adaptor protein 15,1
101925141,CLDND1,,claudin domain containing 1,2
101925126,WARS1,,tryptophanyl-tRNA synthetase 1,7
101925112,CCDC88A,,coiled-coil domain containing 88A,13
101925040,PPIA,,peptidylprolyl isomerase A,3
101867509,LAPTM4A,,lysosomal protein transmembrane 4 alpha,13
101867471,LGMN,,legumain,7
101867424,G3BP2,,G3BP stress granule assembly factor 2,5
101867421,DMAC2,,distal membrane arm assembly component 2,19
101867331,TMEM106C,,transmembrane protein 106C,11
101867323,TCAIM,,T cell activation inhibitor; mitochondrial,2
101867293,PDK2,,pyruvate dehydrogenase kinase 2,16
101866890,GDAP1L1,,ganglioside induced differentiation associated protein 1 like 1,10
101866889,PLD3,,phospholipase D family member 3,19
101866857,ARHGDIA,,Rho GDP dissociation inhibitor alpha,16
101866781,ARFIP2,,ADP ribosylation factor interacting protein 2,14
101866706,ATP6V1C1,,ATPase H+ transporting V1 subunit C1,8
101866695,CORO1A,,coronin 1A,20
101866693,MAPRE2,,microtubule associated protein RP/EB family member 2,18
101866663,XRCC6,,X-ray repair cross complementing 6,10
101866399,MTMR2,,myotubularin related protein 2,14
101866391,DYNLL1,,dynein light chain LC8-type 1,11
101866221,NRBP1,,nuclear receptor binding protein 1,13
101866200,AQP4,,aquaporin 4,18
101866168,ST7L,,suppression of tumorigenicity 7 like,1
101866144,DCN,,decorin,11
101866066,DCAF8,,DDB1 and CUL4 associated factor 8,1
101866054,SLC29A1,,solute carrier family 29 member 1 (Augustine blood group),4
101865971,ATG13,,autophagy related 13,14
101865731,NONO,,non-POU domain containing octamer binding,X
101865712,GALNT11,,polypeptide N-acetylgalactosaminyltransferase 11,3
101865589,MFAP1,,microfibril associated protein 1,7
101865422,MSMO1,,methylsterol monooxygenase 1,5
101865383,POLR2C,,RNA polymerase II subunit C,20
101865366,NCALD,,neurocalcin delta,8
101865347,SRSF7,,serine and arginine rich splicing factor 7,13
101865134,CSTF1,,cleavage stimulation factor subunit 1,10
101865091,MYO1B,,myosin IB,12
101865017,CTSB,,cathepsin B,8
101864984,ACSBG1,,acyl-CoA synthetase bubblegum family member 1,7
101864936,FKBPL,,FKBP prolyl isomerase like,4
101864871,VIM,,vimentin,9
101864817,THOC1,,THO complex 1,18
101864784,NAA15,,N-alpha-acetyltransferase 15; NatA auxiliary subunit,5
102137528,ASPM,,assembly factor for spindle microtubules,1
102137059,MX1,,MX dynamin like GTPase 1,3
102124485,FMO4,,flavin containing dimethylaniline monoxygenase 4,1
101867295,POLL,,DNA polymerase lambda,9
101866882,XRCC4,,X-ray repair cross complementing 4,6
101865068,GLT6D1,,glycosyltransferase 6 domain containing 1,15
101865068,GLT6D1,,glycosyltransferase 6 domain containing 1,6
102143724,NBN,,nibrin,8
102136520,TMEM25,,transmembrane protein 25,14
102136420,LRRTM3,,leucine rich repeat transmembrane neuronal 3,9
102130370,DRC1,,dynein regulatory complex subunit 1,13
102128329,PTPN5,,protein tyrosine phosphatase non-receptor type 5,14
102121844,BTBD16,,BTB domain containing 16,9
101926335,PCLO,,piccolo presynaptic cytomatrix protein,3
101865069,ATPAF2,,ATP synthase mitochondrial F1 complex assembly factor 2,16
102146134,CYP3A5,,cytochrome P450 family 3 subfamily A member 5,3
102142453,SAMHD1,,SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,10
102135027,CYP4F11,,cytochrome P450 family 4 subfamily F member 11,19
102134301,CYP4F2,,cytochrome P450 family 4 subfamily F member 2,19
102131739,CYP4F12,,cytochrome P450 family 4 subfamily F member 12,19
102130440,CYP4F3,,cytochrome P450 family 4 subfamily F member 3,19
102126145,IL1RN,,interleukin 1 receptor antagonist,13
102124651,CYP4A11,,cytochrome P450 family 4 subfamily A member 11,1
102123198,LOC102123198,,disintegrin and metalloproteinase domain-containing protein 18-like,8
102122745,CYP2A24,,cytochrome P450 family 2 subfamily A member 24,19
102141725,SAA4,,serum amyloid A4; constitutive,14
102132776,CDYL,,chromodomain Y like,4
102132425,TTC9C,,tetratricopeptide repeat domain 9C,14
102123684,IRGMP,,immunity-related GTPase family; M; pseudogene,6
102120646,GGTA1,,glycoprotein alpha-galactosyltransferase 1 (inactive),15
102116254,VWC2L,,von Willebrand factor C domain containing 2 like,12
102115352,CLVS2,,clavesin 2,4
102146984,CTNNB1,,catenin beta 1,2
102142245,TICAM2,,toll like receptor adaptor molecule 2,6
102126830,CASP9,,caspase 9,1
101925361,LY6H,,lymphocyte antigen 6 family member H,8
101866832,MYD88,,MYD88 innate immune signal transduction adaptor,2
101866775,ID2,,inhibitor of DNA binding 2,13
101865680,SYT5,,synaptotagmin 5,19
101864836,APLP1,,amyloid beta precursor like protein 1,19
102144981,SLC25A32,,solute carrier family 25 member 32,8
102144314,CDH6,,cadherin 6,6
102141941,KLRF1,,killer cell lectin like receptor F1,11
102139874,USP11,,ubiquitin specific peptidase 11,X
102136704,PDYN,,prodynorphin,10
102135485,CLU,,clusterin,8
102129690,RELN,,reelin,3
102129232,DPYSL3,,dihydropyrimidinase like 3,6
102125691,TGIF1,,TGFB induced factor homeobox 1,18
102123902,SOD2,,superoxide dismutase 2,4
102123126,GRIN2A,,glutamate ionotropic receptor NMDA type subunit 2A,20
102121467,HCST,,hematopoietic cell signal transducer,19
102121106,KLRC1,,killer cell lectin like receptor C1,11
102120479,KLRK1,,killer cell lectin-like receptor subfamily K; member 1,11
102119829,KLRD1,,killer cell lectin like receptor D1,11
102118687,SOD1,,superoxide dismutase 1,3
102117646,GABBR2,,gamma-aminobutyric acid type B receptor subunit 2,15
102116944,PRPF38A,,pre-mRNA processing factor 38A,1
101926850,GFAP,,glial fibrillary acidic protein,16
